,White_Age0_14_MaleRate,White_Age15_24_MaleRate,White_Age25_44_MaleRate,White_Age45_64_MaleRate,White_Age65Plus_MaleRate,White_Total_MaleRate
999,,,,,,
1000,,,,,28.31,4.4
1001,,,,,,
1002,,,,,,
1003,,,,,,
1004,,,,,,
1005,,,,,,
1006,,,,,,
1007,,,,,,
1008,,,,,,
1009,,,,,,
1010,,,,,,
1011,,,,,,
1012,,,,,,
1013,,,,,,
1014,,,,,,
1015,,,,,,
1016,,,,,15.06,1.94
1017,,,,,,
1018,,,,,,
1019,,,,,,
1020,,,,,,
1021,,,,,,
1022,,,,82.61,155.01,50.98
1023,,,,65.72,146.49,40.75
1024,,,,56.5,165.2,40.98
1025,,,,88.16,156.59,51.49
1026,,,,,,
1027,,,,76.49,143.38,49.84
1028,,,,,,
1029,,,,42.62,172.02,45.16
1030,,,,,,
1031,,,,43.89,168.23,44.78
1032,,,,,,
1033,,,,103.2,,56.01
1034,,,,,,
1035,,,,,147.6,47.98
1036,,,,,,
1037,,,,,,
1038,,,,173.42,,72.3
1039,,,,,148.71,40.61
1040,,,,97.94,130.5,49.34
1041,,,,133.77,142.47,58.61
1042,,,,68.38,171.68,46.32
1043,,,,,163.43,47.29
1044,,,,91.3,68.04,40.26
1045,,,,,,
1046,,,,,131.24,37.92
1047,,,,160.82,,52.57
1048,,,,83.56,176.0,53.22
1049,,,,56.51,153.12,45.47
1050,,,,108.76,133.97,56.06
1051,,,,,,
1052,,,,92.99,223.63,71.05
1053,,,,89.29,196.26,61.2
1054,,,,78.74,179.46,58.0
1055,,,,,,
1056,,,,98.01,168.26,60.93
1057,,,,,165.48,49.21
1058,,,,56.73,159.27,44.91
1059,,,,,,
1060,,,,,,
1061,,,,129.46,301.73,97.21
1062,,,,134.67,,76.12
1063,,,,106.73,191.34,63.71
1064,,,,,,70.51
1065,,,,82.89,139.03,48.87
1066,,,,,,55.67
1067,,,,,,
1068,,,,,,
1069,,,,,,57.86
1070,,,,,167.21,38.63
1071,,,,85.75,134.41,44.38
1072,,,,79.79,150.26,52.6
1073,,,,86.81,184.99,58.27
1074,,,,85.68,124.57,45.15
1075,,,,77.24,166.85,50.58
1076,,,,51.11,154.47,44.0
1077,,,,,154.51,46.58
1078,,,,,,
1079,,,,,,
1080,,,,,180.71,46.6
1081,,,,108.37,256.34,79.79
1082,,,,94.55,152.7,57.46
1083,,,,,,
1084,,,,104.41,,56.47
1085,,,,,,
1086,,,,,,
1087,,,,108.53,134.92,56.28
1088,,,,101.81,277.3,83.62
1089,,,,82.82,142.85,47.47
1090,,,,111.4,221.68,69.22
1091,,,,178.78,,73.47
1092,,,,,,
1093,,,,98.06,173.51,58.61
1094,,,,61.73,152.33,44.77
1095,,,,84.91,173.69,53.56
1096,,,,102.34,150.83,47.52
1097,,,,119.73,160.11,54.53
1098,,,,80.85,181.37,46.7
1099,,,,119.64,,47.16
1100,,,,57.28,182.35,49.86
1101,,,,,,
1102,,,,60.45,185.31,51.31
1103,,,,,,
1104,,,,57.4,183.77,50.05
1105,,,,,,98.39
1106,,,,,,31.66
1107,,,,,,
1108,,,,86.61,210.4,62.14
1109,,,,,,
1110,,,,,,
1111,,,,,,38.78
1112,,,,,216.74,45.22
1113,,,,73.12,182.95,47.61
1114,,,,90.39,212.42,55.88
1115,,,,45.74,139.25,33.02
1116,,,,68.63,232.65,62.77
1117,,,,58.69,82.97,29.01
1118,,,,,,
1119,,,,158.07,217.33,65.77
1120,,,,,204.02,45.87
1121,,,,118.77,185.38,64.85
1122,,,,84.84,253.52,71.97
1123,,,,164.06,99.96,67.26
1124,,,,,,
1125,,,,103.96,158.84,63.86
1126,,,,159.67,216.74,85.24
1127,,,,85.48,168.71,59.6
1128,,,,,,
1129,,,,104.65,174.09,66.03
1130,,,,,217.23,80.72
1131,,,,81.24,117.61,45.57
1132,,,,,,
1133,,,,,,
1134,,,,86.22,238.86,72.53
1135,,,,,232.78,66.17
1136,,,,72.8,241.29,64.88
1137,,,,,,
1138,,,,76.02,138.89,45.24
1139,,,,,,50.9
1140,,,,,,
1141,,,,,,
1142,,,,,,34.23
1143,,,,116.42,179.81,65.57
1144,,,,79.62,140.16,42.28
1145,,,,65.9,191.52,55.02
1146,,,,74.9,169.95,51.28
1147,,,,98.71,153.25,49.17
1148,,,,108.53,187.66,63.87
1149,,,,76.56,267.79,70.5
1150,,,,84.87,146.6,53.06
1151,,,,,,
1152,,,,,,
1153,,,,67.14,187.96,53.76
1154,,,,122.86,170.91,69.56
1155,,,,108.69,179.77,68.78
1156,,,,,,
1157,,,,,,31.37
1158,,,,,,
1159,,,,,,
1160,,,,162.74,89.47,65.67
1161,,,,108.15,167.62,67.93
1162,,,,79.28,170.66,47.67
1163,,,,,228.04,59.49
1164,,,,,,36.88
1165,,,,,,
1166,,,,157.99,264.93,91.25
1167,,,,72.54,199.64,56.87
1168,,,,81.13,155.04,48.21
1169,,,,68.91,138.31,35.6
1170,,,,53.57,187.58,38.04
1171,,,,87.94,,38.09
1172,,,,,,
1173,,,,84.52,120.57,46.61
1174,,,,,,
1175,,,,149.75,105.93,64.06
1176,,,,,,
1177,,,,143.41,105.29,62.06
1178,,,,,,
1179,,,,,,31.45
1180,,,,,,
1181,,,,,,30.49
1182,,,,,,
1183,,,,,,
1184,,,,,212.66,51.45
1185,,,,78.1,,41.93
1186,,,,97.19,196.01,54.34
1187,,,,91.29,214.62,52.53
1188,,,,79.38,,35.41
1189,,,,157.95,304.05,99.79
1190,,,,96.65,142.1,48.15
1191,,,,,,
1192,,,,77.89,174.15,40.65
1193,,,,,241.94,56.72
1194,,,,92.16,179.51,54.63
1195,,,,76.4,222.68,61.31
1196,,,,63.32,153.55,46.31
1197,,,,,,
1198,,,,123.48,223.85,80.8
1199,,,,121.76,,53.1
1200,,,,63.17,135.51,45.4
1201,,,,,,
1202,,,,83.13,120.34,48.59
1203,,,,,,
1204,,,,88.55,147.42,51.88
1205,,,,,,
1206,,,,,,
1207,,,,48.68,246.21,58.2
1208,,,,,,48.66
1209,,,,,174.53,45.02
1210,,,,,,
1211,,,,64.65,134.69,41.33
1212,,,,,,48.67
1213,,,,,,
1214,,,,,,
1215,,,,144.57,,48.55
1216,,,,,172.63,38.96
1217,,,,58.02,131.75,35.32
1218,,,,91.06,137.75,52.29
1219,,,,87.16,182.88,55.89
1220,,,,86.34,165.47,46.02
1221,,,,67.5,149.82,44.34
1222,,,,76.12,231.76,61.92
1223,,,,,170.91,44.48
1224,,,,,,
1225,,,,,,
1226,,,,162.57,104.83,67.58
1227,,,,107.99,197.14,67.86
1228,,,,87.08,127.43,51.53
1229,,,,,,
1230,,,,,,31.15
1231,,,,,,
1232,,,,,,
1233,,,,59.23,155.68,45.93
1234,,,,,252.43,55.37
1235,,,,87.86,173.03,48.99
1236,,,,,163.71,38.64
1237,,,,,219.55,52.35
